customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumOfInternetService
7590-VHVEG,Female,No,Yes,No,short,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,<36,<800,No,1
5575-GNVDE,Male,No,No,No,long,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,50~66,800~2500,No,2
3668-QPYBK,Male,No,No,No,short,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50~66,<800,Yes,2
7795-CFOCW,Male,No,No,No,long,No,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),36~50,800~2500,No,3
9237-HQITU,Female,No,No,No,short,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,>66,<800,Yes,0
9305-CDSKC,Female,No,No,No,short,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,>66,800~2500,Yes,3
1452-KIOVK,Male,No,No,Yes,long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),>66,800~2500,No,2
6713-OKOMC,Female,No,No,No,short,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,<36,<800,No,1
7892-POOKP,Female,No,Yes,No,long,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,>66,>2500,Yes,4
6388-TABGU,Male,No,No,Yes,long,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),50~66,>2500,No,2
9763-GRSKD,Male,No,Yes,Yes,short,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,36~50,<800,No,1
7469-LKBCI,Male,No,No,No,short,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),<36,<800,No,0
8091-TTVAX,Male,No,Yes,No,long,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),>66,>2500,No,3
